SMILES,H_count,C_count,N_count,O_count,F_count
CC(C)CO,10,4,0,1,0
OCCC=O,6,3,0,2,0
CC(C)(C)C,12,5,0,0,0
O=C1CCC1,6,4,0,1,0
CNCC#N,6,3,2,0,0
OCC1CC1,8,4,0,1,0
C1CCCC1,10,5,0,0,0
CC(C)(C)O,10,4,0,1,0
CC(=O)C=O,4,3,0,2,0
N#CC1CN1,4,3,2,0,0
N1C=CC=C1,5,4,1,0,0
CC(C)C#N,7,4,1,0,0
COC(C)C,10,4,0,1,0
CCC#CC,8,5,0,0,0
CCC1CO1,8,4,0,1,0
O1C=CN=C1,3,3,1,1,0
CCOC=O,6,3,0,2,0
C1COCO1,6,3,0,2,0
C1C2COC12,6,4,0,1,0
CC1CC1O,8,4,0,1,0
CC1COC1,8,4,0,1,0
N1C=NN=C1,3,2,3,0,0
O=C1CNC1,5,3,1,1,0
C1CN=CO1,5,3,1,1,0
C#CCC#N,3,4,1,0,0
O1N=CN=N1,1,1,3,1,0
OCCC#C,6,4,0,1,0
O1C=CN=N1,2,2,2,1,0
C#CC1CN1,5,4,1,0,0
CC1(O)CC1,8,4,0,1,0
C1C2CC1C2,8,5,0,0,0
C#CC1CC1,6,5,0,0,0
CC1CCC1,10,5,0,0,0
COCCO,8,3,0,2,0
C1CCOC1,8,4,0,1,0
OC1CC1O,6,3,0,2,0
CCCC#N,7,4,1,0,0
NC(=O)CO,5,2,1,2,0
O1C=NC=N1,2,2,2,1,0
C1C2CC1O2,6,4,0,1,0
O=CCC#C,4,4,0,1,0
C1OCC=C1,6,4,0,1,0
CCC(C)O,10,4,0,1,0
COC(C)=N,7,3,1,1,0
C1CC=CC1,8,5,0,0,0
N1C=CC=N1,4,3,2,0,0
CCCOC,10,4,0,1,0
OC1COC1,6,3,0,2,0
CC(C)C=O,8,4,0,1,0
CC(C)=NO,7,3,1,1,0
CN(C)C=O,7,3,1,1,0
COC1CC1,8,4,0,1,0
O=CN1CC1,5,3,1,1,0
CCOCC,10,4,0,1,0
N1C=NC=N1,3,2,3,0,0
CCCC#C,8,5,0,0,0
CCCCC,12,5,0,0,0
CCNC=O,7,3,1,1,0
O1C=CC=N1,3,3,1,1,0
FC(F)(F)F,0,1,0,0,4
CC(O)C#N,5,3,1,1,0
C#CCC#C,4,5,0,0,0
CC#CCO,6,4,0,1,0
OCC1CO1,6,3,0,2,0
NC(=N)C=O,4,2,2,1,0
C#CC1CO1,4,4,0,1,0
CCN1CC1,9,4,1,0,0
C1C2C1N1CC21,7,5,1,0,0
CCCCCC,14,6,0,0,0
COC(=O)C=O,4,3,0,3,0
NC1=NON=C1,3,2,3,1,0
COC(C)C#N,7,4,1,1,0
CC1NC1C#C,7,5,1,0,0
CC12CC1CO2,8,5,0,1,0
CC#CC1CO1,6,5,0,1,0
N#CCC1CN1,6,4,2,0,0
OC1CCC=C1,8,5,0,1,0
OC1CCC1O,8,4,0,2,0
O=C1CC=CC1,6,5,0,1,0
OC1=NOC=N1,2,2,2,2,0
CC(C)(N)C#N,8,4,2,0,0
CC(O)CC#C,8,5,0,1,0
C1C2C3CC1N23,7,5,1,0,0
NC(=N)NC=O,5,2,3,1,0
CC1=CC=CN1,7,5,1,0,0
OC(C=O)C=O,4,3,0,3,0
CN1CC1CO,9,4,1,1,0
OCC(O)C=O,6,3,0,3,0
CCC#CC#C,6,6,0,0,0
CCCC(N)=O,9,4,1,1,0
CC1=CCOC1,8,5,0,1,0
CC(=O)C1CN1,7,4,1,1,0
CC(O)CC=O,8,4,0,2,0
CC1=CNC=N1,6,4,2,0,0
CC1CCCC1,12,6,0,0,0
CC12CC1OC2,8,5,0,1,0
CC1CC=CC1,10,6,0,0,0
CC1NCC1=O,7,4,1,1,0
CC1COCO1,8,4,0,2,0
CC#CCC=O,6,5,0,1,0
CC12CC(C1)C2,10,6,0,0,0
OCC(=O)CO,6,3,0,3,0
CN=C(N)C=O,6,3,2,1,0
CC1C(C)N1C,11,5,1,0,0
O=C1NC=CO1,3,3,1,2,0
CCC(O)C#N,7,4,1,1,0
OC1(CC1)C=O,6,4,0,2,0
O=CNCC#N,4,3,2,1,0
OC1=NC=NN1,3,2,3,1,0
O=C1NCC=C1,5,4,1,1,0
CCNC(C)=O,9,4,1,1,0
CCC(=O)C=O,6,4,0,2,0
CC1=CC=NN1,6,4,2,0,0
OCC(O)CO,8,3,0,3,0
O=CCCC#C,6,5,0,1,0
C1C2CC=CC12,8,6,0,0,0
OCC1CCO1,8,4,0,2,0
CCC(C)CO,12,5,0,1,0
OC(C#C)C#C,4,5,0,1,0
CN(C)CC#N,8,4,2,0,0
[NH3+]CCC([O-])=O,7,3,1,2,0
CC1CN1C=O,7,4,1,1,0
NC(=O)NC=N,5,2,3,1,0
NC1=CC=CN1,6,4,2,0,0
CCC(C)C#C,10,6,0,0,0
N#CC1CCC1,7,5,1,0,0
C[NH2+]CC([O-])=O,7,3,1,2,0
C1C2C3OC2C13,6,5,0,1,0
CC1(C)COC1,10,5,0,1,0
CCCC1CC1,12,6,0,0,0
OC1CC1C=O,6,4,0,2,0
CN1C=CC=C1,7,5,1,0,0
CC(=NO)C#C,5,4,1,1,0
OC1=NON=N1,1,1,3,2,0
CC1=CON=C1,5,4,1,1,0
COCCCO,10,4,0,2,0
CCCCC=O,10,5,0,1,0
NC(=O)C1CO1,5,3,1,2,0
CC1=CNN=C1,6,4,2,0,0
CC1=CNC=C1,7,5,1,0,0
CC1C2CC1C2,10,6,0,0,0
CC1(C)CCO1,10,5,0,1,0
COCC(C)=O,8,4,0,2,0
CCC(=O)OC,8,4,0,2,0
C1C2CCOC12,8,5,0,1,0
CCCN1CC1,11,5,1,0,0
NC1=NC=CO1,4,3,2,1,0
OC1CC1C#N,5,4,1,1,0
C1C2C3C1CN23,7,5,1,0,0
O=C(C#N)C#N,0,3,2,1,0
CC12CCC1O2,8,5,0,1,0
CN1C=CC=N1,6,4,2,0,0
CC1=NNC=C1,6,4,2,0,0
CN1CC1C#C,7,5,1,0,0
O=C1CCOC1,6,4,0,2,0
O=C1CN=CN1,4,3,2,1,0
OCCOC=N,7,3,1,2,0
CC1CC1C=O,8,5,0,1,0
CCC(=O)C#N,5,4,1,1,0
CC#CC(C)C,10,6,0,0,0
CCC1OC1C,10,5,0,1,0
CC(C)(O)C=O,8,4,0,2,0
CC(C)CCO,12,5,0,1,0
OC12CC1OC2,6,4,0,2,0
CC(O)C(C)=O,8,4,0,2,0
OC1CCCC1,10,5,0,1,0
CCC(O)C#C,8,5,0,1,0
CCC(F)(F)F,5,3,0,0,3
OC1CC2NC12,7,4,1,1,0
C1C2CC1C=C2,8,6,0,0,0
COCCOC,10,4,0,2,0
CC#CC1CN1,7,5,1,0,0
N=C1OC=CO1,3,3,1,2,0
CCOC1CC1,10,5,0,1,0
CC1OC1C#C,6,5,0,1,0
CC1COC=N1,7,4,1,1,0
O=C1NCCO1,5,3,1,2,0
NC1=CNN=C1,5,3,3,0,0
NC(=O)NC=O,4,2,2,2,0
O=C1CCC=C1,6,5,0,1,0
CC1OC1C=O,6,4,0,2,0
OC1C(O)C1O,6,3,0,3,0
OC1CCC1=O,6,4,0,2,0
CN1N=NN=N1,3,1,5,0,0
O=C1NCCN1,6,3,2,1,0
CC(C#C)C#N,5,5,1,0,0
CC1OC1(C)C,10,5,0,1,0
OC1=NNN=C1,3,2,3,1,0
C1C2C1C1OC21,6,5,0,1,0
CNC(=O)OC,7,3,1,2,0
CCC#CC#N,5,5,1,0,0
O=CC#CC#N,1,4,1,1,0
C1CCC=CC1,10,6,0,0,0
N#CCCC#N,4,4,2,0,0
OC1=NOC=C1,3,3,1,2,0
OC1=CNC=N1,4,3,2,1,0
NC1=NC=NO1,3,2,3,1,0
O=C1CN2CC12,5,4,1,1,0
CN1C=NN=C1,5,3,3,0,0
CC1C2CCC12,10,6,0,0,0
OC12CN(C1)C2,7,4,1,1,0
OC1=CC=CN1,5,4,1,1,0
OCC(=O)C#C,4,4,0,2,0
C1CC2CCC12,10,6,0,0,0
C1COCOC1,8,4,0,2,0
CC1=COC=N1,5,4,1,1,0
OCC1CC1O,8,4,0,2,0
NC1=NNN=C1,4,2,4,0,0
OC1=NNC=C1,4,3,2,1,0
O=CNCC#C,5,4,1,1,0
CC1OCC1=O,6,4,0,2,0
CCC#CCC,10,6,0,0,0
OC(C#C)C#N,3,4,1,1,0
CC1CC(=N)O1,7,4,1,1,0
CCCOCC,12,5,0,1,0
CC(C)C(C)O,12,5,0,1,0
OCC(=O)C#N,3,3,1,2,0
CC(=O)CC#N,5,4,1,1,0
COCC#CC,8,5,0,1,0
CC1(CN1)C#N,6,4,2,0,0
NC1=CN=CO1,4,3,2,1,0
O=COCC#C,4,4,0,2,0
CC1COC1C,10,5,0,1,0
CC#CCC#C,6,6,0,0,0
NC1=NOC=C1,4,3,2,1,0
CC(CO)C#C,8,5,0,1,0
CCN=COC,9,4,1,1,0
C1=CN=NN=C1,3,3,3,0,0
CC1OCCO1,8,4,0,2,0
CC(O)CCO,10,4,0,2,0
CCC(=O)CO,8,4,0,2,0
N#CCC1CC1,7,5,1,0,0
OCCCC#N,7,4,1,1,0
CC1=CN=NO1,4,3,2,1,0
OCC#CC#C,4,5,0,1,0
ON=C1COC1,5,3,1,2,0
CC(C)(C)C=O,10,5,0,1,0
N=C1NN=NN1,3,1,5,0,0
OCCC1CC1,10,5,0,1,0
C1NC1C1CN1,8,4,2,0,0
NC1=CC=CO1,5,4,1,1,0
CC(C)(O)CO,10,4,0,2,0
O=C1NN=NN1,2,1,4,1,0
CC1=NON=C1,4,3,2,1,0
ON=C1CCC1,7,4,1,1,0
CCOCC#C,8,5,0,1,0
CC1=NC=NN1,5,3,3,0,0
C1C2CC1CC2,10,6,0,0,0
COC1COC1,8,4,0,2,0
C1NC11COC1,7,4,1,1,0
C#CCN1CC1,7,5,1,0,0
NC1(CC1)C#N,6,4,2,0,0
NC1=CNC=C1,6,4,2,0,0
NC1=CON=C1,4,3,2,1,0
N=C1OCC=C1,5,4,1,1,0
CCC(C)(C)O,12,5,0,1,0
CC1(CN1)C=O,7,4,1,1,0
C1=CN=CC=N1,4,4,2,0,0
CC(C=O)C#N,5,4,1,1,0
CCC1(O)CC1,10,5,0,1,0
NC1=NOC=N1,3,2,3,1,0
CNC(=N)C=O,6,3,2,1,0
N1C2C3NC2C13,6,4,2,0,0
CC1NC1CO,9,4,1,1,0
CCC(N)C#N,8,4,2,0,0
O1C2C3OC2C13,4,4,0,2,0
CN=C1CCO1,7,4,1,1,0
O=C1NC=NO1,2,2,2,2,0
C1OC1C1CO1,6,4,0,2,0
NC(=O)CC=O,5,3,1,2,0
COCC1CN1,9,4,1,1,0
CNC(=N)C#N,5,3,3,0,0
C1OCC2OC12,6,4,0,2,0
CN(C=O)C=O,5,3,1,2,0
C#CCCC#N,5,5,1,0,0
CCC(C)C#N,9,5,1,0,0
NC(C#N)C#N,3,3,3,0,0
CCOCC#N,7,4,1,1,0
OCCCC=O,8,4,0,2,0
OC1(CC1)C#C,6,5,0,1,0
CCCNC=O,9,4,1,1,0
NC(=[NH2+])C([O-])=O,4,2,2,2,0
CC1CC1C#C,8,6,0,0,0
CC(O)CC#N,7,4,1,1,0
NC(=O)C1CC1,7,4,1,1,0
O=C1NC=NN1,3,2,3,1,0
CC1(O)COC1,8,4,0,2,0
COCC1CO1,8,4,0,2,0
CCC1CC1C,12,6,0,0,0
NC1=CN=NO1,3,2,3,1,0
CCC(O)C=O,8,4,0,2,0
CCCOC=O,8,4,0,2,0
C1NC1C1CO1,7,4,1,1,0
CCCCCO,12,5,0,1,0
CN1CC1C=O,7,4,1,1,0
O=C1NC=CN1,4,3,2,1,0
O=CNC1CC1,7,4,1,1,0
C1=CC=NC=C1,5,5,1,0,0
CC12CN(C1)C2,9,5,1,0,0
CC1CCC1C,12,6,0,0,0
OC12CC1CC2,8,5,0,1,0
C1C2C1C1CC21,8,6,0,0,0
NC(=O)CC#N,4,3,2,1,0
CN(C)C(N)=O,8,3,2,1,0
N=C1OC2CC12,5,4,1,1,0
CC1=NNC=N1,5,3,3,0,0
O=CC1CCO1,6,4,0,2,0
O=C1CN=CO1,3,3,1,2,0
OC1CN2CC12,7,4,1,1,0
CC1C(O)C1O,8,4,0,2,0
CC(C#N)C#N,4,4,2,0,0
N=C1CCCO1,7,4,1,1,0
O1C2C1C1OC21,4,4,0,2,0
COCCC=O,8,4,0,2,0
C1=NN=NN=C1,2,2,4,0,0
C1=CN=CN=C1,4,4,2,0,0
OC1CC2OC12,6,4,0,2,0
N#CC#CC#N,0,4,2,0,0
COC(C)C#C,8,5,0,1,0
C1C2OCOC12,6,4,0,2,0
O=CC1COC1,6,4,0,2,0
O=CC(=O)C#N,1,3,1,2,0
O=C1CC2CN12,5,4,1,1,0
CC1=CC=NO1,5,4,1,1,0
O=CC(=O)C=O,2,3,0,3,0
CC(=O)C1CO1,6,4,0,2,0
CCNCC#N,8,4,2,0,0
O=CCOC=O,4,3,0,3,0
CC1CC1C#N,7,5,1,0,0
CC1CC1(C)O,10,5,0,1,0
C1C2C3CC1C23,8,6,0,0,0
CCCC(C)O,12,5,0,1,0
O=C(C#C)C#N,1,4,1,1,0
OCC1(O)CC1,8,4,0,2,0
O=CCN1CC1,7,4,1,1,0
CCOC(C)C,12,5,0,1,0
OCCCCO,10,4,0,2,0
O=CCNC=O,5,3,1,2,0
CC1=NCCO1,7,4,1,1,0
OC1CCOC1,8,4,0,2,0
NC1=NNC=C1,5,3,3,0,0
CC1CC1(C)C,12,6,0,0,0
CNC(=O)CO,7,3,1,2,0
NCC(O)C#N,6,3,2,1,0
O=CCCC=O,6,4,0,2,0
CN1CCC1=O,7,4,1,1,0
CC(=O)C1CC1,8,5,0,1,0
OCC(F)(F)F,3,2,0,1,3
OC1CC2CC12,8,5,0,1,0
CCC1CC1O,10,5,0,1,0
C1=NN=NC=N1,2,2,4,0,0
OCCC1CO1,8,4,0,2,0
CN1CC1(C)C,11,5,1,0,0
O=CCC1CO1,6,4,0,2,0
CC(C)C1CO1,10,5,0,1,0
CCN1CC1C,11,5,1,0,0
CC1(CO1)C#C,6,5,0,1,0
CC#CCCO,8,5,0,1,0
CC#CC(N)=O,5,4,1,1,0
CC1(CC1)C#C,8,6,0,0,0
CC1CC(=O)O1,6,4,0,2,0
CC1=NNN=C1,5,3,3,0,0
CC1NC1C#N,6,4,2,0,0
C1CCCCC1,12,6,0,0,0
CC1=NOC=C1,5,4,1,1,0
CC1OC1C#N,5,4,1,1,0
CC(=O)C(C)=O,6,4,0,2,0
CC1NC1C=O,7,4,1,1,0
CCC1COC1,10,5,0,1,0
O=C1NN=NO1,1,1,3,2,0
CC1C(C)C1C,12,6,0,0,0
N=C1COCO1,5,3,1,2,0
C1C2CCCC12,10,6,0,0,0
COC1CC1C,10,5,0,1,0
CC(C)C(C)C,14,6,0,0,0
CCC(=O)CC,10,5,0,1,0
CC(=O)N1CC1,7,4,1,1,0
C1C=CC2OC12,6,5,0,1,0
C1COCCO1,8,4,0,2,0
C#CC1CCO1,6,5,0,1,0
N=COCC#C,5,4,1,1,0
NC(C#C)C#N,4,4,2,0,0
COC(=O)C#N,3,3,1,2,0
CC1(CO)CN1,9,4,1,1,0
C#CC#CC#N,1,5,1,0,0
CC(C)N1CC1,11,5,1,0,0
CN=C(N)C#N,5,3,3,0,0
O=CCCC#N,5,4,1,1,0
OC1CC(O)C1,8,4,0,2,0
CCCC1CO1,10,5,0,1,0
CNC(C)C#N,8,4,2,0,0
CN1N=CC=N1,5,3,3,0,0
N=C1CN=CN1,5,3,3,0,0
CC1(CO)CC1,10,5,0,1,0
CC1(C)CCC1,12,6,0,0,0
CC1(C)CC1O,10,5,0,1,0
C1CC11COC1,8,5,0,1,0
O=C1NC2CC12,5,4,1,1,0
N#CC1CCN1,6,4,2,0,0
CCC1CCC1,12,6,0,0,0
CC1(CO1)C#N,5,4,1,1,0
NC1=NC=NN1,4,2,4,0,0
OC1C2CCC12,8,5,0,1,0
CCCCC#N,9,5,1,0,0
CC1CC(=O)C1,8,5,0,1,0
OC1=NNN=N1,2,1,4,1,0
COC1CC1O,8,4,0,2,0
CC1OCC=C1,8,5,0,1,0
CN1C=NN=N1,4,2,4,0,0
CC(C)(O)C#C,8,5,0,1,0
CC([NH3+])C([O-])=O,7,3,1,2,0
C1CC1C1CC1,10,6,0,0,0
CC1=NC=NO1,4,3,2,1,0
CC1CC(C)O1,10,5,0,1,0
CCC1CN1C,11,5,1,0,0
CC(=N)OC=O,5,3,1,2,0
CC(C)(O)C#N,7,4,1,1,0
CNC(=O)C#C,5,4,1,1,0
CC(=O)OC=N,5,3,1,2,0
CC1CCC=C1,10,6,0,0,0
CCNC(N)=O,8,3,2,1,0
CC1COC1=N,7,4,1,1,0
COC(=O)CN,7,3,1,2,0
CC#CC#CC,6,6,0,0,0
OC(C=O)C#N,3,3,1,2,0
CC1=CC=CO1,6,5,0,1,0
C1=CC=CC=C1,6,6,0,0,0
NC1=COC=C1,5,4,1,1,0
COC(=O)C#C,4,4,0,2,0
O=C(C#C)C#C,2,5,0,1,0
CCC1(C)CO1,10,5,0,1,0
C1C2COCC12,8,5,0,1,0
C1C2C3CC2C13,8,6,0,0,0
NC1=CN=NN1,4,2,4,0,0
CC1(CN1)C#C,7,5,1,0,0
NC1=NNN=N1,3,1,5,0,0
CCCC(C)C,14,6,0,0,0
COC(C)(C)C,12,5,0,1,0
CC1CCC1=O,8,5,0,1,0
C1CC1N1CC1,9,5,1,0,0
COCCC#C,8,5,0,1,0
N1C2C1C1NC21,6,4,2,0,0
OCC(=O)C=O,4,3,0,3,0
CC(O)C1CO1,8,4,0,2,0
C1=CN=NC=C1,4,4,2,0,0
CC(C)(C)C#N,9,5,1,0,0
CN1N=CN=N1,4,2,4,0,0
C1C2C3CN1C23,7,5,1,0,0
CCC(C)C=O,10,5,0,1,0
C#CCC1CC1,8,6,0,0,0
OC1CC=CC1,8,5,0,1,0
CCOCC=O,8,4,0,2,0
N#CCC1CO1,5,4,1,1,0
CC1CCC1O,10,5,0,1,0
C1C2C3CN2C13,7,5,1,0,0
COC(C)CO,10,4,0,2,0
ON=C1CNC1,6,3,2,1,0
CC1=CN=NN1,5,3,3,0,0
COCC(C)C,12,5,0,1,0
CC#CC1CC1,8,6,0,0,0
O=C1CC2CC12,6,5,0,1,0
CC(C)(C)CO,12,5,0,1,0
OC1=COC=N1,3,3,1,2,0
NC(CO)C#N,6,3,2,1,0
CC1CC(O)C1,10,5,0,1,0
NC1=CNC=N1,5,3,3,0,0
C12C3C1C1C2C31,6,6,0,0,0
CC1(CO1)C=O,6,4,0,2,0
OC1C2COC12,6,4,0,2,0
N#CC1COC1,5,4,1,1,0
CC1CCCO1,10,5,0,1,0
OCCN1CC1,9,4,1,1,0
OCC1COC1,8,4,0,2,0
C1CC2OC2C1,8,5,0,1,0
CC12CC(C1)O2,8,5,0,1,0
CC(=O)CC=O,6,4,0,2,0
C1C2CCC1O2,8,5,0,1,0
CC1CC(=O)N1,7,4,1,1,0
OC1=CC=NN1,4,3,2,1,0
N1C2C3OC2C13,5,4,1,1,0
CC(=O)NC=O,5,3,1,2,0
CC1=NC=CO1,5,4,1,1,0
CC(C=O)C#C,6,5,0,1,0
CC(C)(C)C#C,10,6,0,0,0
C1C=CC2NC12,7,5,1,0,0
O=CC1CCC1,8,5,0,1,0
COC(=O)CO,6,3,0,3,0
CCC(O)CO,10,4,0,2,0
CC#CC(C)=O,6,5,0,1,0
OCC#CC=O,4,4,0,2,0
CC1C(C)C1O,10,5,0,1,0
OC1COC1=N,5,3,1,2,0
C1CC11CCC1,10,6,0,0,0
CC(C)C1CC1,12,6,0,0,0
NCC(F)(F)F,4,2,1,0,3
O=C1CCCC1,8,5,0,1,0
NCC(N)C#N,7,3,3,0,0
CN(C=N)C=O,6,3,2,1,0
O=CCC1CN1,7,4,1,1,0
C1CC=CCO1,8,5,0,1,0
CC(C)C(C)=O,10,5,0,1,0
OCC1CCC1,10,5,0,1,0
CC(CO)=NO,7,3,1,2,0
N=C1OC=NO1,2,2,2,2,0
CN(C)CC=O,9,4,1,1,0
CC(CO)C=O,8,4,0,2,0
CN1C=CN=C1,6,4,2,0,0
O=C1OC2CC12,4,4,0,2,0
OC1CC1C#C,6,5,0,1,0
NC(=O)N1CC1,6,3,2,1,0
CCCCOC,12,5,0,1,0
NC(=O)CCO,7,3,1,2,0
CCC#CCO,8,5,0,1,0
CC1=NON=N1,3,2,3,1,0
CCOC=NC,9,4,1,1,0
CC1CNC1=O,7,4,1,1,0
CC1=CN=CO1,5,4,1,1,0
N=COCC#N,4,3,2,1,0
COC1CCC1,10,5,0,1,0
O=C1COCO1,4,3,0,3,0
CCC(=O)C#C,6,5,0,1,0
FC(F)(F)C#C,1,3,0,0,3
C1CC2OCC12,8,5,0,1,0
OC1=CNN=N1,3,2,3,1,0
O=C1CC2NC12,5,4,1,1,0
CC1COC1=O,6,4,0,2,0
CN1C=CN=N1,5,3,3,0,0
CC1=NOC=N1,4,3,2,1,0
COC(C)=NC,9,4,1,1,0
OC1C2CC1O2,6,4,0,2,0
CC1CC2OC12,8,5,0,1,0
NC(=O)CC#C,5,4,1,1,0
OC1C2CC1C2,8,5,0,1,0
CC1=NNN=N1,4,2,4,0,0
OC1COC1=O,4,3,0,3,0
OC1=NC=CN1,4,3,2,1,0
O=CC#CC=O,2,4,0,2,0
CC(O)C1CN1,9,4,1,1,0
CC(C=O)C=O,6,4,0,2,0
O=C1OCCO1,4,3,0,3,0
CC(CO)C#N,7,4,1,1,0
CCC1CCO1,10,5,0,1,0
COCC1CC1,10,5,0,1,0
C1C2OC=NC12,5,4,1,1,0
CCCC#CC,10,6,0,0,0
C#CCCC#C,6,6,0,0,0
CN1CC(=O)C1,7,4,1,1,0
COCC(C)O,10,4,0,2,0
C#CC1CCC1,8,6,0,0,0
CCOC(N)=O,7,3,1,2,0
CC(O)C1CC1,10,5,0,1,0
CN=CNC=O,6,3,2,1,0
CCC(C)OC,12,5,0,1,0
C1OC11COC1,6,4,0,2,0
CC1(O)CC1O,8,4,0,2,0
OC1=CN=CN1,4,3,2,1,0
CC(C)CC#C,10,6,0,0,0
CC(C)C(N)=O,9,4,1,1,0
O=C1CCCN1,7,4,1,1,0
CC1CC1CO,10,5,0,1,0
CC(=O)C(N)=O,5,3,1,2,0
COC1(C)CCC1,12,6,0,1,0
CC1(C)OC1C=O,8,5,0,2,0
OC1C2CCC12O,8,5,0,2,0
O=C1C=CC2NC12,5,5,1,1,0
OCC1COC1=N,7,4,1,2,0
O=CC1CN2CC12,7,5,1,1,0
C1CC2=CCOC12,8,6,0,1,0
CC#CCC1CC1,10,7,0,0,0
OCC1=CC=NN1,6,4,2,1,0
CCC1=CNN=C1,8,5,2,0,0
COC1CNC1=O,7,4,1,2,0
CC1CC=C(C)C1,12,7,0,0,0
CCC(=O)CC#C,8,6,0,1,0
CC1CC(O1)C=O,8,5,0,2,0
CCN(CC)C=O,11,5,1,1,0
N=C1OCC2OC12,5,4,1,2,0
OCC12CN1CC2,9,5,1,1,0
OCC1CC1C=O,8,5,0,2,0
CN1C=C(O)C=N1,6,4,2,1,0
COC1=CNN=C1,6,4,2,1,0
C#CC1=COC=C1,4,6,0,1,0
COC1CC1(C)C,12,6,0,1,0
N#CC1CC1C#N,4,5,2,0,0
CC1C(O)C1C#N,7,5,1,1,0
O=CCC1COC1,8,5,0,2,0
COC(C)CC#N,9,5,1,1,0
COCCOC=N,9,4,1,2,0
COCCCC#N,9,5,1,1,0
C1C2OCC3C2N13,7,5,1,1,0
CCN1CC1C#C,9,6,1,0,0
CNC1=NON=C1,5,3,3,1,0
CN=C1OCC=C1,7,5,1,1,0
OCC1(CO)CN1,9,4,1,2,0
C#CC1CC=CC1,8,7,0,0,0
COC1=CNC=N1,6,4,2,1,0
CC1OCC1(C)O,10,5,0,2,0
CC1(C)CC1C#C,10,7,0,0,0
CCC(CC)C#C,12,7,0,0,0
OCC(O)CC#C,8,5,0,2,0
O=COCCC#N,5,4,1,2,0
CC1(O)CC1(C)O,10,5,0,2,0
CC12CC1N1CC21,9,6,1,0,0
C#CCCC1CC1,10,7,0,0,0
C1CCCCCC1,14,7,0,0,0
CNC(=O)NC=N,7,3,3,1,0
OC1COC1C#C,6,5,0,2,0
CC(O)C(=O)CO,8,4,0,3,0
C1C2C1C1CC2C1,10,7,0,0,0
CC1CCC(C)C1,14,7,0,0,0
O=C1CCNC=C1,7,5,1,1,0
CC1N2CC1(C)C2,11,6,1,0,0
OC1CC11CCO1,8,5,0,2,0
CC1=C(N)NC=C1,8,5,2,0,0
CC1C2CCC1O2,10,6,0,1,0
CC1COC(=N)C1,9,5,1,1,0
FC1=CN=NC=N1,2,3,3,0,1
CC1(CCO)CC1,12,6,0,1,0
N=C1NN=CC=N1,4,3,4,0,0
OCC1(O)CCC1,10,5,0,2,0
O=C1NN=NC=C1,3,3,3,1,0
CC(C)(C)C1CO1,12,6,0,1,0
OC1CC(O)C1O,8,4,0,3,0
CC1(CC1)N1CC1,11,6,1,0,0
C#CC1=CNC=C1,5,6,1,0,0
CC(C)(C=O)C=O,8,5,0,2,0
CC1COC1C#N,7,5,1,1,0
